Lookback,K,Cost_bps,CAGR,Sharpe,Sortino,Max DD
9,9,0,0.3930823453232648,0.3810042206959784,0.640493611914209,-0.49204862011964406
9,9,5,0.38683156096696725,0.3758752024054693,0.6301330597402819,-0.4941925694781258
9,9,10,0.380606162309723,0.37074285018408926,0.6215472267557202,-0.49632875517631797
9,9,15,0.3744060568428056,0.3656072211126411,0.6113579368318804,-0.498457200760262
9,9,25,0.36208135694076016,0.3553263616203276,0.5927540470183353,-0.5026909654803281
9,9,50,0.33170581981270053,0.32957089680568885,0.5483057554211294,-0.5152390751161746
12,3,0,0.5677565217706009,0.36193939818871734,0.7568008133549918,-0.6095085120358872
12,3,5,0.5616810131393404,0.3590337441725861,0.7471620758815136,-0.6113286748677071
12,3,10,0.555626092455682,0.356126753686552,0.7419636326174635,-0.6131413302450819
12,3,15,0.5495916995693912,0.35321846436613763,0.7367431126072821,-0.6149465052505695
12,3,25,0.5375842573311636,0.347398139968187,0.7219435437087882,-0.6185345220553812
12,3,50,0.5079207062223476,0.3328272411972255,0.6916764044984005,-0.6275824975267795
9,4,0,0.505057181912298,0.3770220539091443,0.6500464968614957,-0.5400511810020364
9,4,5,0.4981430619271916,0.37298820961039747,0.643111226420078,-0.5422241859474364
9,4,10,0.491257196368005,0.3689515662876784,0.6347866252836337,-0.5443883399467548
9,4,15,0.4843994835962553,0.36491219007961556,0.6279018037016441,-0.5465436734454278
9,4,25,0.4707681114483271,0.35682550440832006,0.6114509725250455,-0.5508280002929392
9,4,50,0.4371753010942012,0.3365656258823317,0.5714858811777517,-0.5613865733298764
9,7,0,0.4132722452443782,0.37307166719213797,0.6086997362125492,-0.49192147047842516
9,7,5,0.40689485076265774,0.36825009537645376,0.6008315217955918,-0.4942095153508851
9,7,10,0.40054337251956995,0.36342685515415235,0.5897821001331154,-0.4964887334994802
9,7,15,0.3942177164979166,0.3586020120605598,0.5819663418098168,-0.49875915339646304
9,7,25,0.38164349655537944,0.3489477797142316,0.5646034497953705,-0.5032737119531597
9,7,50,0.35065331214655693,0.324788747202923,0.5239541471131279,-0.5144081177302621
9,8,0,0.40017258752025686,0.3748096684056397,0.6365669992771963,-0.5029524979982987
9,8,5,0.39389170955356856,0.36984877171917513,0.6282468663818752,-0.5061699437695145
9,8,10,0.38763628374540704,0.3648855493228091,0.6178700811496769,-0.5093682474342142
9,8,15,0.38140621771532923,0.35992006041195945,0.6076350353397343,-0.512547512989213
9,8,25,0.369021796952713,0.3499825203789681,0.5891711424343071,-0.5188493431994049
9,8,50,0.3384981315312885,0.3251031704242106,0.54148819257492,-0.5342779335743412
