CAGR,Annual Vol,Sharpe,Sortino,Max DD,Avg DD,Calmar,Max DD Duration (mo),Avg DD Duration (mo),VaR 5%,CVaR 5%,VaR 1%,CVaR 1%,Skewness,Kurtosis,Win Rate,Avg Win,Avg Loss,Payoff Ratio,Omega,Best Month,Worst Month,Total Return,Years,Lookback,K,Avg Turnover,Beat SPY 1Y,Avg Excess 1Y,Beat SPY 3Y,Avg Excess 3Y,Beat SPY 5Y,Avg Excess 5Y,Bull CAGR,Bull Sharpe,Bull Months,Bear CAGR,Bear Sharpe,Bear Months,Neutral CAGR,Neutral Sharpe,Neutral Months,Avg Return in SPY Crashes,Avg SPY Return in Crashes,Crash Months,2005-2009 Strat CAGR,2005-2009 SPY CAGR,2005-2009 Strat Sharpe,2010-2014 Strat CAGR,2010-2014 SPY CAGR,2010-2014 Strat Sharpe,2015-2019 Strat CAGR,2015-2019 SPY CAGR,2015-2019 Strat Sharpe,2020-2026 Strat CAGR,2020-2026 SPY CAGR,2020-2026 Strat Sharpe,Composite Score
0.1478078144314039,0.62223081170083,0.13060034428245484,0.2540455744834935,-0.8093739092046784,-0.41166744276943534,0.18261993962301734,102,15.1875,-0.22724729922419015,-0.2815629911421362,-0.3275725040461618,-0.36231633009470343,1.3618904176563573,4.502311836487196,0.5615942028985508,0.13140784504954237,-0.10919756519954096,1.2033953761644383,1.4790233686922456,0.8954249343764535,-0.41048884932723506,22.822705096735532,23.0,3,1,0.8152173913043478,0.46037735849056605,0.1292870444477469,0.43983402489626555,0.35413112379398687,0.4423963133640553,0.6622054798217185,0.5116707250620962,0.7330303275703627,166,-0.2526960617587105,-0.444169319632782,20,0.27143422342295564,0.3472612213136699,90,-0.1339775586931891,-0.07876483351729723,25,-0.16562869962325655,0.0039140323068174165,-0.1691929369371781,0.29020070141566334,0.1534146423033491,0.7783365617205602,-0.12807317766380177,0.11560366246620446,0.07583060537868255,0.4344712609351793,0.13016898803548127,0.8299128661603842,0.3314714915752056
0.2181333420057292,0.45378052097485827,0.16949108683001488,0.31018558117352957,-0.7000778268740906,-0.26057161595958056,0.311584417663553,101,10.0,-0.1806036561235594,-0.22104673260982524,-0.26000337597321505,-0.2693008408059756,0.762098932272914,2.8217790586360643,0.5978260869565217,0.10264959169861107,-0.09124864125741476,1.1249437830973716,1.5890026888541953,0.7019545379144136,-0.27808688660706554,92.53649755294799,23.0,3,2,0.802536231884058,0.5584905660377358,0.12214865291168421,0.4979253112033195,0.3191023442673885,0.5391705069124424,0.6290912834054769,0.4232950143017593,0.9431011477472584,166,-0.1386087534226732,-0.2565641681951887,20,0.3189464106748643,0.5172290420208412,90,-0.11250593228069747,-0.07876483351729723,25,-0.055440027345403764,0.0039140323068174165,0.07419365850555469,0.18413608227650036,0.1534146423033491,0.6497601359216449,0.027290549952936116,0.11560366246620446,0.2630902053674269,0.40812193300546573,0.13016898803548127,0.9701993863391799,0.4100413122699614
0.2601973864535605,0.37736363912348436,0.20859446854686817,0.35638169953731313,-0.6151984318255047,-0.1773234616148629,0.42294871539491025,34,6.242424242424242,-0.1453785453943974,-0.1943342694650012,-0.21790076546714976,-0.27483166099890377,0.39834700296942843,1.693641740514817,0.6304347826086957,0.08598507192337618,-0.07852028925396443,1.095068201357076,1.7590219086811414,0.4890965401181407,-0.32539123110580587,203.21480101190483,23.0,3,3,0.7693236714975845,0.6377358490566037,0.15749781677386057,0.8174273858921162,0.5237674902041115,0.8986175115207373,1.152266900256206,0.42702685740909385,1.1486012166125366,166,-0.028826992976505594,-0.060233909687271325,20,0.30322200878210026,0.5928128960731621,90,-0.09629457916100746,-0.07876483351729723,25,0.08707582853740736,0.0039140323068174165,0.4087543350415639,0.2872399716680367,0.1534146423033491,0.9512278044906698,0.10348180739359458,0.11560366246620446,0.46666702241264535,0.36989305007910134,0.13016898803548127,1.0009543322771388,0.48431401116496986
0.3116017670902935,0.3284184967485374,0.2611206472110715,0.43538155407226653,-0.5255131879717715,-0.12641425370113893,0.5929475686289182,30,5.333333333333333,-0.12738476603579474,-0.1708975996493803,-0.20807183707641558,-0.23181012269956502,0.23848066063722106,1.1901580274252774,0.6485507246376812,0.07860577318751989,-0.067599203399167,1.1628209983978675,2.0044572959284634,0.3871927777483175,-0.2399613966425977,511.20739178983933,23.0,3,4,0.7563405797101449,0.7056603773584905,0.20859889425718348,0.8879668049792531,0.8692153961196547,1.0,2.0306627904336567,0.44740784697147995,1.3711112272664878,166,-0.09497743983438112,-0.22417495438860438,20,0.38642148288473077,0.8595849957687384,90,-0.09166531752457299,-0.07876483351729723,25,0.18807482343021498,0.0039140323068174165,0.6841503022784079,0.30468150434992114,0.1534146423033491,1.0942935807908343,0.15613050170487397,0.11560366246620446,0.6932273196562397,0.4253581672340787,0.13016898803548127,1.2025043239755655,0.6045287521110404
0.3070695661031049,0.31310818913546895,0.26623945167362767,0.4377554353586316,-0.4991947487597168,-0.11107005297809237,0.6151298002754236,41,4.589743589743589,-0.1187469775455853,-0.16651369610098013,-0.1860628283649427,-0.22686587050934848,0.28084558797929243,2.1114716700886174,0.6594202898550725,0.0743512042738679,-0.06605783339972646,1.1255471220794806,2.031131565182906,0.47055312544522926,-0.2442347295321059,472.009823739676,23.0,3,5,0.7427536231884058,0.7509433962264151,0.19608645258016902,0.950207468879668,0.8244342236398556,1.0,1.9114441739304597,0.4515410455722617,1.5183198437024485,166,-0.17413831573925986,-0.4455364562945938,20,0.3719563286036236,0.8456643403858316,90,-0.09187809669194989,-0.07876483351729723,25,0.16042947586827383,0.0039140323068174165,0.6269762722437436,0.31141787324829573,0.1534146423033491,1.2122729459505521,0.16832600092760353,0.11560366246620446,0.7697405448730366,0.3971123071414373,0.13016898803548127,1.183960087625503,0.6249736105916803
0.3108255266019295,0.2956049494929188,0.2795429579248264,0.46719672551069985,-0.48112921620121596,-0.10560304458576784,0.6460333651239697,29,4.095238095238095,-0.11715257150793837,-0.15482126644856953,-0.17924079408585733,-0.20908509298617775,0.4084775963425513,2.503087591924383,0.6739130434782609,0.06960006638506419,-0.06312322499678022,1.102606313106061,2.114086820260022,0.44340970294334897,-0.22834233651870872,504.2804236275168,23.0,3,6,0.732487922705314,0.8,0.1991117811502549,1.0,0.8470341659171294,1.0,1.9950864026574786,0.45154346272884216,1.6782389283602608,166,-0.15380105284557555,-0.41787771167182775,20,0.35460969285029886,0.8300790857140891,90,-0.09085212722027687,-0.07876483351729723,25,0.18754864177595998,0.0039140323068174165,0.7140930720542552,0.32084310309886277,0.1534146423033491,1.3586090926654313,0.180441832271655,0.11560366246620446,0.8557169555732524,0.3889129253600887,0.13016898803548127,1.1977130816731982,0.6546450310074954
0.29112377341430506,0.2822366195006799,0.2731623459089839,0.4493140424213448,-0.49962272884043113,-0.10819702091127228,0.5826872089866107,36,3.9767441860465116,-0.10683818000251784,-0.1470452217371622,-0.16670303907129377,-0.21693933977630894,0.45544632827261045,3.141403487966514,0.6521739130434783,0.06807351530364346,-0.05656183718557808,1.203523766038501,2.0834049715385565,0.44003308610288794,-0.23526937062298695,355.6655723533498,23.0,3,7,0.7282608695652174,0.7849056603773585,0.17637211546798648,0.995850622406639,0.7127180346916615,1.0,1.6042103398154683,0.4477361162827129,1.7809357654713789,166,-0.2045383459257315,-0.6030783232282446,20,0.3023077351755483,0.7486171621967141,90,-0.09309993135049403,-0.07876483351729723,25,0.17735205994404168,0.0039140323068174165,0.7119461007661047,0.3495828869979478,0.1534146423033491,1.5087795768948173,0.16838330515497946,0.11560366246620446,0.8736032624149883,0.3017275249711071,0.13016898803548127,1.0258165941727815,0.6227934289637567
0.2881116445127718,0.2678947403582748,0.2813052938006113,0.4542432539673935,-0.5502581505241534,-0.11895814966212438,0.5235935973657609,38,3.744186046511628,-0.09891256274307134,-0.14123492545646055,-0.1837131734496804,-0.1950395713344872,0.33842906907127523,2.6909774022820567,0.6666666666666666,0.06448306462712938,-0.056303464817041564,1.1452770240102892,2.109604740779879,0.4109153327330715,-0.1969891684992179,337.010852279402,23.0,3,8,0.7228260869565217,0.7849056603773585,0.17267631638554246,0.995850622406639,0.6919055089929077,1.0,1.5070414977413555,0.44133892951308673,1.8532158938294594,166,-0.2282586029209991,-0.6738789852058743,20,0.2979450734962057,0.7955691757731226,90,-0.09301097158317237,-0.07876483351729723,25,0.1750401427819932,0.0039140323068174165,0.7071989979700054,0.34550202534237506,0.1534146423033491,1.5122755369661385,0.1744939778260055,0.11560366246620446,0.9602189955750392,0.2859936169827255,0.13016898803548127,1.0449976936033267,0.5980404956723653
0.28794012336958996,0.26068554491351636,0.28681600317677314,0.46531825002608007,-0.5446516433438543,-0.10993873059842288,0.5286684193254239,36,3.7857142857142856,-0.09714180221788735,-0.13754757304277346,-0.1714126285623963,-0.18552316556026885,0.37964685834572637,2.7462904267271586,0.6739130434782609,0.0621166886211552,-0.05462066840263227,1.137237797298022,2.158308455379758,0.4038219053982847,-0.19431663879599595,335.97717102520045,23.0,3,9,0.715780998389694,0.8113207547169812,0.17182926674590623,0.995850622406639,0.6762790414164668,1.0,1.4544202944121785,0.43026914163740115,1.8552956641588014,166,-0.18179994710876668,-0.4878679550248783,20,0.2924042021735629,0.8281640944802715,90,-0.09194091581644853,-0.07876483351729723,25,0.2051820606918413,0.0039140323068174165,0.7797348252349585,0.324170102853792,0.1534146423033491,1.4929066383241782,0.1740296441442042,0.11560366246620446,0.9715733864755206,0.29663697023261615,0.13016898803548127,1.1045354992826177,0.6098574394887574
0.28188246347145474,0.2546064123269114,0.2865213220990451,0.4576474042074549,-0.5348883648845417,-0.1074315342855465,0.5269930736524816,29,3.5454545454545454,-0.09694584450737567,-0.13574255897205612,-0.1604512475307873,-0.18834364925442826,0.3831613057428004,3.1204885630644297,0.6630434782608695,0.06158171246634932,-0.05136028831464932,1.1990141505647385,2.159785954305726,0.41467938305862057,-0.20019725239745734,301.34914507803234,23.0,3,10,0.7144927536231883,0.8226415094339623,0.16538663529580203,0.995850622406639,0.643400940865323,1.0,1.3972644757412358,0.4171944793933988,1.864372605336907,166,-0.1948807143033212,-0.5297977315723944,20,0.2944860685747013,0.855654547776602,90,-0.09048934891336648,-0.07876483351729723,25,0.1928961376247007,0.0039140323068174165,0.7610585974440078,0.322965820913647,0.1534146423033491,1.5217338108598066,0.1778609639223363,0.11560366246620446,1.0206134118792727,0.27695789857176156,0.13016898803548127,1.0825576343866374,0.6083705566161272
