Label,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Best Month,Worst Month,Total Return,Years
S&P 500 (SPY),0.1007092939196752,0.1460760841443201,0.15313287656829225,0.20586162787896797,-0.5078483901622288,0.1983058248693164,0.6654135338345865,0.12698366800004401,-0.1651859428257434,7.389640966585166,22.166666666666668
Top-8 Momentum (Best Sharpe),0.37130321183611503,0.2568531933942146,0.3624777845799286,0.593769526828418,-0.48972269512276057,0.7581907384199115,0.6627450980392157,0.3459355609589698,-0.21965344758045702,819.515388672777,21.25
Top-3 Momentum (Best Sortino),0.5503946218817326,0.3924423584225065,0.35864594423716445,0.7741761885663996,-0.6095084262001217,0.9030139670309003,0.6862745098039216,0.7062832396834376,-0.2738279781626483,11139.325503605856,21.25
