K,CAGR_0,Sharpe_0,Sortino_0,MaxDD_0,Calmar_0,Worst_0,CVaR_0,CAGR_20,Sharpe_20,Sortino_20,MaxDD_20,Calmar_20,rank_sharpe,rank_cagr,rank_sortino,rank_calmar,rank_maxdd,rank_worst,combined
11,0.43207758281098285,0.5261132247490754,1.1174165545159438,-0.14516188257603388,2.976522315248056,-0.10601220821576036,-0.07656705485336465,0.4134104241394041,0.5068589041544883,1.0618952880502004,-0.14931592540745672,2.7686961254218545,0.9,0.6666666666666666,0.9333333333333333,0.9,0.3333333333333333,0.43333333333333335,0.6944444444444445
12,0.41882386384356174,0.5273887970588219,1.1108852363889865,-0.15981685710513055,2.6206488566350137,-0.10912362426343258,-0.07331651100676716,0.4004519763709331,0.5077556415836219,1.057614265391636,-0.16474353432274538,2.4307598960843984,0.9333333333333333,0.6,0.9,0.7666666666666667,0.6,0.36666666666666664,0.6944444444444443
13,0.4190612934463567,0.5405949308667924,1.153209051896946,-0.15788681187300072,2.65418807609743,-0.10920771142141619,-0.07046293396715411,0.40088454023031117,0.5206851099194587,1.089992162865672,-0.16273067432665977,2.463484784838965,1.0,0.6333333333333333,1.0,0.8,0.5,0.3333333333333333,0.7111111111111111
14,0.40680476890540485,0.5320688819242464,1.101699030821661,-0.16401389343402095,2.480306761750358,-0.10937956188975931,-0.07134522668514673,0.38881146949875967,0.5116623828340938,1.042490553295196,-0.16922152960149736,2.2976477663000585,0.9666666666666667,0.5666666666666667,0.8666666666666667,0.7,0.6666666666666666,0.3,0.6777777777777777
15,0.3909695867861931,0.5243830490818048,1.095832086568849,-0.17200433380662644,2.2730217206371983,-0.09289883662084009,-0.06865269701160766,0.37334501673600284,0.5036720144713277,1.038646167070969,-0.17729433204539044,2.1057921729862183,0.8666666666666667,0.5333333333333333,0.8333333333333334,0.4666666666666667,0.8,0.9666666666666667,0.7444444444444445
16,0.3694055714748483,0.5098392403575117,1.0252946503967886,-0.1662179357092046,2.222417032787105,-0.10128790138342825,-0.06871507969103006,0.3519732972227496,0.4887136623619609,0.9682012832623577,-0.17184250505169768,2.0482318802141575,0.7666666666666667,0.5,0.7666666666666667,0.3333333333333333,0.7333333333333333,0.6,0.6166666666666667
17,0.36059617539512256,0.49929423101269094,1.0110975134052553,-0.15838064826422427,2.276769159282294,-0.09734812543485712,-0.06812068461399037,0.343542243385317,0.4782964728364392,0.9501940236083425,-0.16329409200962144,2.103825307807677,0.7,0.4666666666666667,0.7,0.5,0.5333333333333333,0.7,0.6
18,0.34980025260094605,0.48836637460767174,0.9598735350308321,-0.1628434353040724,2.1480770897996293,-0.0985799000279714,-0.06973332878759438,0.33284213650090755,0.46716618384894515,0.9070717665086757,-0.1678596069855584,1.982860215617824,0.5666666666666667,0.43333333333333335,0.6666666666666666,0.16666666666666666,0.6333333333333333,0.6666666666666666,0.5222222222222223
19,0.3425334869112495,0.48519492851106377,0.9449818461838196,-0.16817406754910164,2.036779462512794,-0.09937092203592768,-0.06861968615410677,0.32566643437836884,0.46376695444143196,0.891972963250798,-0.17346249324711135,1.8774458286750824,0.5333333333333333,0.4,0.5666666666666667,0.1,0.7666666666666667,0.6333333333333333,0.5
20,0.33725077164289075,0.48416924710137793,0.9445850109229151,-0.15930852230868708,2.116966291291125,-0.0957516249026516,-0.06726709228775732,0.32042825488178095,0.46222535850926855,0.8845959168856697,-0.1647271018022459,1.9452066561970691,0.5,0.36666666666666664,0.5333333333333333,0.13333333333333333,0.5666666666666667,0.7666666666666667,0.4777777777777777
21,0.33042517742305644,0.4826714583356434,0.9433655331188299,-0.15183704671026343,2.17618285248643,-0.09569932405273543,-0.06602292437132037,0.3137370593068174,0.4602911126500027,0.8851314838932357,-0.15736521866051773,1.9936874359996852,0.43333333333333335,0.3333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.8,0.45
22,0.3238421627714805,0.4840591588164831,0.9562828661455686,-0.14153418350843702,2.2880844382881955,-0.09446496254218575,-0.06307481572535759,0.3072102153588854,0.4611547964606116,0.8950343871708376,-0.14702383967610466,2.0895265423326808,0.4666666666666667,0.3,0.6333333333333333,0.5333333333333333,0.3,0.8666666666666667,0.5166666666666666
23,0.3156802595574195,0.4790536713957767,0.944314329668083,-0.1393916817049581,2.2646994117310437,-0.09405574915065347,-0.06275759839896089,0.2992435906971336,0.4558586885234722,0.8832370131018581,-0.1448174248176645,2.066350724534031,0.4,0.26666666666666666,0.5,0.43333333333333335,0.26666666666666666,0.9,0.4611111111111111
24,0.31084576762092486,0.47603704130793145,0.9360702721783943,-0.1309209495905199,2.3743011992592016,-0.10212406818018277,-0.06165097913152088,0.2944563538917364,0.45257166977541696,0.8764245131952486,-0.13646812308009978,2.1576932930989727,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.6333333333333333,0.03333333333333333,0.5666666666666667,0.36111111111111116
25,0.3088017757643984,0.4739012101670598,0.9304679322163041,-0.13411092703204613,2.3025847527741674,-0.10389262756845795,-0.06199067732782347,0.2926103735919703,0.4506511557879998,0.8728713018117807,-0.13984199704261263,2.092435604325688,0.3,0.16666666666666666,0.3333333333333333,0.5666666666666667,0.16666666666666666,0.5333333333333333,0.3444444444444445
26,0.3092688360963396,0.47756884741387107,0.9382932830207025,-0.13108234377738,2.3593477747207325,-0.10497104874036958,-0.06197949894420564,0.2930404519783798,0.4541991355941029,0.8774737395094223,-0.13646837942834977,2.147313928734937,0.36666666666666664,0.2,0.43333333333333335,0.6,0.06666666666666667,0.4666666666666667,0.35555555555555557
27,0.30300915598291844,0.47016806198671174,0.9287337961878255,-0.13834744343997668,2.1902042310914243,-0.09264754033379904,-0.06191252933071894,0.2868089056673613,0.4467400216963441,0.8718656861733799,-0.14350289785542453,1.9986279716547177,0.26666666666666666,0.13333333333333333,0.3,0.26666666666666666,0.23333333333333334,1.0,0.3666666666666667
28,0.299375656237862,0.4690236007105884,0.9133282747335281,-0.1351093812824829,2.2158021404297292,-0.0945124067081259,-0.062067925683638545,0.2833218296128812,0.44553377992762067,0.856462916637625,-0.14034548559348498,2.018745586399064,0.23333333333333334,0.1,0.23333333333333334,0.3,0.2,0.8333333333333334,0.31666666666666665
29,0.29629136941480017,0.46609652485420344,0.9013948410747602,-0.13234625038622944,2.2387590774209736,-0.0930633649700697,-0.06275955595958975,0.2802531051341077,0.4424697837731779,0.845897220518901,-0.13754105410194242,2.037596025157625,0.16666666666666666,0.06666666666666667,0.2,0.36666666666666664,0.1,0.9333333333333333,0.3055555555555556
30,0.293000637227397,0.4644489416983188,0.9000371558029834,-0.13392986386621805,2.187716979389108,-0.09604489495008707,-0.06243683622704782,0.27706310281408975,0.4408286434240603,0.84018261830628,-0.1391793679480374,1.9906909112960711,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.23333333333333334,0.13333333333333333,0.7333333333333333,0.23888888888888885
