Label,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Best Month,Worst Month,Total Return,Years,Lookback,K_val
LB6_K1,0.550592321630377,4.51550754868145,0.11735363702928885,1.2771551281034126,-0.9308111384576859,0.5915188365092888,0.5274725274725275,16.250530645848084,-0.686953852726863,21567.555539057517,22.75,6,1
LB6_K2,0.6500358483275595,2.307575562049305,0.13991586178557158,1.082940340857933,-0.7836803452895625,0.8294655496143358,0.575091575091575,8.210000633111592,-0.40868310792512025,88709.36952408153,22.75,6,2
LB6_K3,0.5945144886752989,1.5984750649887676,0.15537439335904607,0.9255314074396269,-0.7335823601683318,0.8104263692203264,0.6043956043956044,5.669584771752199,-0.34389513384045745,40718.05486677526,22.75,6,3
LB6_K4,0.6151787619965123,1.220078167656887,0.17975777451419298,0.9209288394059656,-0.6384980320120259,0.9634779296938,0.6007326007326007,4.20173856416906,-0.2896021201028156,54577.1167537793,22.75,6,4
LB6_K5,0.6145922664312047,1.0011685579516134,0.19938819588059628,0.9290193806507028,-0.5776213595250277,1.0640054359080104,0.6153846153846154,3.386292022850122,-0.24871048869778417,54128.030221616194,22.75,6,5
LB6_K6,0.6068111602478732,0.8670849760543041,0.21630685714190376,0.926790997737886,-0.5639405828252225,1.0760196707388536,0.6153846153846154,2.8582556810170847,-0.22527472086158454,48494.35006411355,22.75,6,6
LB6_K7,0.5909119642424852,0.7687799130125978,0.23023200111058517,0.8545038115766483,-0.5824062457716492,1.0146044424018263,0.6153846153846154,2.452415562947879,-0.23497950844431617,38675.74034344408,22.75,6,7
LB6_K8,0.5486995927548892,0.6888121850464614,0.23493260286933026,0.8035437236617794,-0.6020019003196254,0.9114582403536666,0.63003663003663,2.145764093011841,-0.22826115074087125,20976.485974764844,22.75,6,8
LB6_K9,0.5148149070908761,0.6295372983193273,0.23863222260386718,0.7725890312094903,-0.6038248512523229,0.8525897965662698,0.6227106227106227,1.9155177247382058,-0.23152156361878598,12680.780277803638,22.75,6,9
LB6_K10,0.48981775933596916,0.5869112606918768,0.24180509058777375,0.7389183905018869,-0.6075682692329987,0.8061937795966877,0.6190476190476191,1.7411366081441664,-0.22636324712813108,8684.18539674542,22.75,6,10
LB6_K11,0.4609914255337715,0.5461050921839092,0.2431638641806668,0.7038326664649601,-0.6051972956599867,0.7617208947225149,0.608058608058608,1.591070887011164,-0.2286953904615842,5567.451307762133,22.75,6,11
LB6_K12,0.45712586378001685,0.5157154863827049,0.2515934934065558,0.7018499578388131,-0.5974963058561902,0.7650689373300348,0.608058608058608,1.4537145589770712,-0.224152595545929,5241.739421156012,22.75,6,12
LB6_K13,0.44869224424791043,0.4870416572679103,0.25828986001129406,0.6774758528746232,-0.5957134579685434,0.7532014565828453,0.6263736263736264,1.3473937035458865,-0.22285333515443684,4593.170121352269,22.75,6,13
