CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Max DD Dur,VaR 5%,CVaR 5%,Skew,Kurt,Win Rate,Payoff,Beat SPY 1Y,Beat SPY 3Y,Beat SPY 5Y,Best Mo,Worst Mo,Total Ret,2005-09 CAGR,2005-09 Sharpe,2010-14 CAGR,2010-14 Sharpe,2015-19 CAGR,2015-19 Sharpe,2020-26 CAGR,2020-26 Sharpe,Universe,Lookback,K,Cost_bps,Score
0.38737773027136346,0.5802520459420646,0.22620218502804343,0.45735927454494807,-0.8512707655788412,0.45505818587339486,92,-0.17498905032937895,-0.26755131077951033,1.0754861260046995,3.512447490508455,0.5787545787545788,1.4556378655222404,0.6641221374045801,0.773109243697479,0.705607476635514,0.8954249343764535,-0.41048884932723506,1716.63095689974,-0.04107838427591082,0.17844946310154083,0.20091621946430283,0.6225317911975283,0.7161961204070844,1.0855095172563827,0.8007665769992205,1.208879360625029,S&P 500,6,1,0,0.5782696912224429
0.368278815679405,0.5801949375700431,0.21918222476775684,0.44311530504013785,-0.8583098836873057,0.42907442018176056,93,-0.175753557883529,-0.26826559649379605,1.0777572791088885,3.5022480051881866,0.5787545787545788,1.4256272000076626,0.6641221374045801,0.7521008403361344,0.6915887850467289,0.8934249343764535,-0.41048884932723506,1252.0610186036467,-0.05752577002983261,0.14442587939320903,0.1827654360942077,0.5881933023854848,0.6951904684504102,1.0673718313430396,0.7791585899831208,1.190060255528035,S&P 500,6,1,10,0.558629844265426
0.3400525665654828,0.580146937535723,0.2086361475327016,0.4218217786438834,-0.8682758838113237,0.39164115105076003,134,-0.177553557883529,-0.2693370250652246,1.080954035668068,3.4860587521866986,0.5714285714285714,1.423793731526967,0.648854961832061,0.7142857142857143,0.6728971962616822,0.8904249343764535,-0.41048884932723506,778.8691544442851,-0.08173230019458533,0.09353137163429903,0.1559854521336539,0.5367880971617742,0.6640901761374187,1.0400636384302406,0.7471550658394408,1.1617078143107813,S&P 500,6,1,25,0.5281301496569508
0.38590649207522887,0.44768635019821595,0.2554766222956334,0.469126169991118,-0.7048932374767386,0.5474680016177113,20,-0.15899916038339662,-0.22177401037273836,0.4964571306735367,1.1754231722951873,0.6043956043956044,1.3841285648942359,0.7595419847328244,0.9537815126050421,1.0,0.4935322210312255,-0.3003686913356399,1675.6672769092233,0.21962726905088004,0.6494500417649047,0.3484449723380383,1.0102744746903978,0.6441582139948938,1.356049686054852,0.40631191786223075,0.9182808356187938,S&P 500,6,2,0,0.6279053931843906
0.367852216103262,0.44767542447668807,0.24686621023811453,0.45313199665915144,-0.7096714409341479,0.5183415801811811,20,-0.15899916038339662,-0.22284543894416697,0.4952786665007272,1.1675416559931886,0.6043956043956044,1.3511328255340973,0.7404580152671756,0.9411764705882353,1.0,0.4915322210312255,-0.3023686913356399,1243.2031832656278,0.20213202857358525,0.6191436809114692,0.3307502708295378,0.9733517978870172,0.623700554158634,1.3279002548319436,0.38827651802253715,0.8920764256678542,S&P 500,6,2,10,0.6073655539996777
0.34116289250277587,0.4476781564907522,0.23393981196100894,0.42870422751430887,-0.7167116629209602,0.47601135875529865,21,-0.15899916038339662,-0.22445258180130984,0.49344570010047734,1.1555166546160462,0.6007326007326007,1.3234574272656114,0.7099236641221374,0.9285714285714286,1.0,0.4885322210312255,-0.30536869133563993,793.7028676449887,0.17630755835420708,0.5738309488288972,0.30459662316799463,0.9177654575032823,0.5934396207325758,1.2854832454069378,0.3616076932356662,0.8527515644628899,S&P 500,6,2,25,0.5752431299541729
0.3372806518485034,0.3723242596736477,0.2568908004928409,0.45055910819946743,-0.5872961358004816,0.5742940082328171,22,-0.1481777267887601,-0.18667659860639033,0.30983527431636165,0.8122451456350799,0.6483516483516484,1.1451462684151372,0.732824427480916,0.9663865546218487,1.0,0.42418129246377306,-0.25170994551208453,742.9834356315035,0.2150698886900757,0.6984726784805322,0.22541115668240952,0.8375332606254702,0.5017756380511937,1.3709659401115508,0.4992809300512606,1.1402623238220366,S&P 500,6,3,0,0.60949113058042
0.3199873227292722,0.3722855507881546,0.2466241136963261,0.4299566276870762,-0.5919400479162262,0.5405738703703287,22,-0.14924439345542675,-0.18767659860639033,0.3107114989435439,0.8088410561655088,0.6483516483516484,1.1146624627932828,0.7061068702290076,0.957983193277311,1.0,0.4235146257971064,-0.2523766121787512,552.3017516495399,0.1988245799938868,0.6630427318529882,0.2080898040518333,0.7891066191437592,0.4829414671152137,1.3337220060673716,0.4813477671914588,1.1122143798640418,S&P 500,6,3,10,0.5858924931695723
0.2944238565227322,0.37224321539918626,0.2312103103200834,0.39976103019970255,-0.5988208997152922,0.49167264646694064,31,-0.15084439345542677,-0.1891765986063903,0.3120003107352929,0.8036064924001458,0.63003663003663,1.1585691827223732,0.6870229007633588,0.8949579831932774,0.9953271028037384,0.4225146257971064,-0.2533766121787512,353.6014997543343,0.17482136093264433,0.6099799076944283,0.18252306558053188,0.716168921485871,0.45508948800314797,1.2777027829543381,0.45480661360617525,1.0701066853632564,S&P 500,6,3,25,0.5352828652796062
0.3320545545954754,0.3331487741700503,0.2722356973355434,0.47976148171267236,-0.5517832850623973,0.6017843664074125,21,-0.13056806089236606,-0.16902038619226817,0.2719831294927511,0.9162552311537948,0.608058608058608,1.415826709728261,0.7786259541984732,0.957983193277311,1.0,0.43070952542765845,-0.23450444078551502,679.5746509100619,0.18225780797590896,0.6719064766063084,0.2798895122704981,1.1033731903086654,0.44543760258903187,1.3746141347307255,0.42188543837751813,1.1016468955845862,S&P 500,6,4,0,0.6278389968344408
0.3154342671982451,0.33326052278593005,0.2610835172264773,0.4598434323850683,-0.557034393567913,0.5662743106001545,21,-0.13156806089236606,-0.17005610047798245,0.2747757642533662,0.9218125080490962,0.6043956043956044,1.3953768399512938,0.7595419847328244,0.9411764705882353,1.0,0.43070952542765845,-0.23500444078551502,510.4735587210429,0.1663040089921406,0.630303483454317,0.26360781715944204,1.0531257522920778,0.42812480588445667,1.3341084676780293,0.40475015748922716,1.0690177700856869,S&P 500,6,4,10,0.6035217096189136
0.29085432018629787,0.33344100778691194,0.24435983703985648,0.42960520558516935,-0.5648114870529994,0.5149582238560338,30,-0.13306806089236606,-0.1716096719065539,0.27895639071799155,0.9302097124757518,0.6007326007326007,1.3548410324991487,0.7290076335877863,0.9327731092436975,0.9953271028037384,0.43070952542765845,-0.23575444078551502,332.0098205251716,0.14273772664216966,0.5680305251466068,0.23953682442171687,0.9774577244334159,0.40250484080312643,1.2732573321999765,0.3793955374856426,1.0201453810114203,S&P 500,6,4,25,0.5532750908574333
0.32282849436844585,0.30790776037727313,0.28089687605020325,0.49504639503819353,-0.5823428698765326,0.5543615472391573,28,-0.12053149485542536,-0.158921621849782,0.12929741637890763,0.5914075095588323,0.6227106227106227,1.3413070012276938,0.7709923664122137,0.9411764705882353,1.0,0.3599642004165612,-0.23201082006954515,580.039374445686,0.18885353777977243,0.7098057908192883,0.3082912342556494,1.1904675041313346,0.41024588195593514,1.4971399342737919,0.35129676686236433,1.041463021340218,S&P 500,6,5,0,0.6078546692623933
0.3065219922034892,0.30798382153466,0.2689947865884075,0.47452274483596346,-0.5869895880690801,0.5221932355083205,28,-0.12147295734367822,-0.1598930504212106,0.13144031479703935,0.5949060107924526,0.6227106227106227,1.3005412350453052,0.7480916030534351,0.9243697478991597,0.9953271028037384,0.3599642004165612,-0.23281082006954515,437.18295629888314,0.17344822182693465,0.6676549255017089,0.2926461035292576,1.1431047307904487,0.39330079455037104,1.4481472815468504,0.33395715953088967,1.0030811374793531,S&P 500,6,5,10,0.583930320116429
0.2824024652787467,0.3081104058328595,0.2511424878833379,0.4423888006067394,-0.5938754455484174,0.47552473737647233,28,-0.12339295734367822,-0.16135019327835345,0.13466307888237053,0.6001901744139433,0.6190476190476191,1.2613112216730318,0.7213740458015268,0.9117647058823529,0.985981308411215,0.3599642004165612,-0.23401082006954516,285.7832824373059,0.15067843406481818,0.6044841508005406,0.2694962211258056,1.0718405969887186,0.36822669887476533,1.3745871023623983,0.30832475103629964,0.9455750434181168,S&P 500,6,5,25,0.5490939559794364
0.3240812654682905,0.2941929088330119,0.29081539068203227,0.5088536808995843,-0.5814381394815469,0.5573787535803297,28,-0.11105546775990793,-0.1465274433314352,0.222210320210316,0.9548890786684097,0.63003663003663,1.358662333713639,0.7748091603053435,0.9495798319327731,0.9953271028037384,0.3305597554438146,-0.22435797953652856,592.6877348502627,0.17736851412071197,0.7081522657073495,0.32219139588427415,1.3397892872646548,0.3558811922730283,1.4118345245723212,0.3590028994317278,1.087854543370498,S&P 500,6,6,0,0.6060870243604675
0.30826456885560205,0.29423792033428636,0.27875339650547015,0.4882600346253476,-0.5864029041118046,0.5256873161679086,29,-0.11191658862706752,-0.14750561445030677,0.2260667292759871,0.9622270791762397,0.6190476190476191,1.3792042246494274,0.7595419847328244,0.9453781512605042,0.9953271028037384,0.33022642211048125,-0.22435797953652856,450.6733214743634,0.16251071066736622,0.6639984755196507,0.30645565485009185,1.2875313277770746,0.3399452081809349,1.3616845537102875,0.3425326989723716,1.0503090812549556,S&P 500,6,6,10,0.5810361878346462
0.284859902738293,0.29431641562449856,0.26065760023852763,0.4554994971857137,-0.5937532180990237,0.4797614464310747,30,-0.11311658862706753,-0.14900561445030677,0.2318535551409702,0.9732674973458475,0.6153846153846154,1.335334672311644,0.732824427480916,0.9243697478991597,0.9813084112149533,0.32972642211048125,-0.22499873180829116,298.54971167718713,0.14054242776499004,0.5977714939622335,0.28317047249001326,1.2089130697554027,0.31635794310758314,1.286275173071765,0.3181659952828262,0.9940147737338784,S&P 500,6,6,25,0.5441578526685978
0.30000585057493967,0.2764434582358635,0.28519144345640685,0.4677438854324369,-0.607156169646236,0.4941164490673632,29,-0.10222808736812498,-0.14595969381987614,0.039450257425129885,0.9135802150701564,0.6446886446886447,1.2566242389871785,0.7748091603053435,0.9411764705882353,0.9813084112149533,0.3050419210405533,-0.2274298921595408,390.0711064839733,0.13615353525870555,0.594386307063881,0.3286955680625092,1.4571731446417437,0.3306385162354011,1.4185797244571148,0.3164857803039802,1.0208514730432858,S&P 500,6,7,0,0.5671936813590517
0.2847184141136503,0.27648222043360415,0.2725763636378989,0.44496620826762234,-0.6120696516125761,0.46517322556921925,31,-0.10308523022526785,-0.14687806116681493,0.043309087404474526,0.919155735136727,0.6373626373626373,1.255779766360265,0.7557251908396947,0.9285714285714286,0.9813084112149533,0.304756206754839,-0.22800132073096938,297.8001695454398,0.12178503213536307,0.5491809947925927,0.31319583094000225,1.4009855174038939,0.3152883902037382,1.3654027203511472,0.3008327368180619,0.9825194727575848,S&P 500,6,7,10,0.5435268580329667
