CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 5Y,Worst Mo,Best Mo,Lookback,K,Composite
0.23684145286773162,0.5076414660346037,0.16957791002342484,0.3172663179853801,-0.5544071001967353,0.427197726695215,0.4746376811594203,0.8525345622119815,-0.31602725243205054,0.8954249343764535,3,1,0.157
0.2584677065121348,0.3477872519983763,0.2162693193439868,0.3540832964270944,-0.38323045805081285,0.6744445831021718,0.5,0.9907834101382489,-0.2658703153034999,0.42604676033859346,3,2,0.156
0.3031678732620462,0.2888597405474787,0.2781317055162911,0.45246505030708845,-0.2631608309661469,1.1520250644787096,0.5362318840579711,1.0,-0.26316083096614695,0.31457767612106147,3,3,0.187
0.3404849962277985,0.2574315491617621,0.33532643423976605,0.5485763891442744,-0.2390372958442998,1.4244011380114425,0.5543478260869565,1.0,-0.23903729584429992,0.2697385530428375,3,4,0.22949999999999998
0.34054079690344086,0.23570243872081953,0.3600840980055794,0.5827656920730014,-0.2350161408926096,1.4490102492962416,0.5615942028985508,1.0,-0.20512198056633152,0.22419514615584862,3,5,0.2535
0.3343522969150856,0.21626244884464596,0.3804524553223954,0.6201415828254447,-0.20214817495239276,1.6539961194001767,0.5797101449275363,1.0,-0.20214817495239265,0.24783146011880594,3,6,0.265
0.3291656136161347,0.20134784011595258,0.3985849413936855,0.6632113909176506,-0.19540685154339568,1.684514186766036,0.572463768115942,1.0,-0.19540685154339577,0.21242696581611936,3,7,0.2705
0.33081073678044914,0.18958379508086662,0.4218930856548648,0.7113241860088529,-0.1804282414103745,1.8334753705659503,0.5833333333333334,1.0,-0.1804282414103745,0.18502899459862804,3,8,0.2925
0.32351960599447205,0.18220574113578863,0.4279698753733304,0.7233023505335289,-0.16960065502349495,1.9075374794375326,0.5869565217391305,1.0,-0.16960065502349503,0.19567147613702157,3,9,0.3175
0.32059711952018866,0.17895180725188584,0.4311823739995253,0.7318878296483633,-0.1700157899936647,1.8856902616641376,0.5760869565217391,1.0,-0.15297181177434432,0.20235816774368906,3,10,0.3315
0.31789121488404115,0.17433413069549814,0.4378389225156941,0.7563132531172715,-0.14962129980779074,2.124638773305782,0.5797101449275363,1.0,-0.14481296683032027,0.19823353865474183,3,11,0.348
0.302119395313478,0.17052707127643169,0.42569576830121814,0.7252603504540934,-0.15112953251260092,1.9990758278054475,0.5760869565217391,1.0,-0.151129532512601,0.1825397355198899,3,12,0.2765
0.28941707003238726,0.1645480627729875,0.42198894389728314,0.7063790451595083,-0.15387442722550526,1.8808652954934626,0.5652173913043478,1.0,-0.15387442722550523,0.1565638119770753,3,13,0.245
0.2886358527760211,0.16266290318126767,0.4252285981824015,0.7168619641641496,-0.1596800373581742,1.807588835469705,0.5688405797101449,1.0,-0.15968003735817413,0.15778287289982415,3,14,0.252
0.2851816603178545,0.16067328881626147,0.4249838490110335,0.7273577644779397,-0.15573444101515163,1.831204828289131,0.5652173913043478,1.0,-0.1557344410151515,0.1652192994341446,3,15,0.2495
0.2800852919589436,0.15704119787604462,0.42631870635751723,0.7299416164851914,-0.15091608495464875,1.8559008606876533,0.572463768115942,1.0,-0.1509160849546488,0.1618269564601758,3,16,0.2575
0.28114568148003505,0.15528762598906531,0.43221843123600845,0.7411455397408772,-0.1536973870497785,1.829215752308004,0.5760869565217391,1.0,-0.1536973870497785,0.1592933027979027,3,17,0.28150000000000003
0.2814087129046756,0.15306569057554278,0.43824467079325663,0.7504711383441818,-0.1457140252891989,1.931239716603554,0.572463768115942,1.0,-0.14571402528919888,0.1598397297970663,3,18,0.3135
0.2727395737437479,0.15031137047385484,0.43219533121091086,0.7475456975104193,-0.13754959170498002,1.982845389528505,0.572463768115942,1.0,-0.1375495917049801,0.1552459223820294,3,19,0.28
0.2646526022921223,0.147869087675282,0.4259469540745097,0.7436573229213793,-0.13198182053329338,2.005220122155852,0.5615942028985508,1.0,-0.13198182053329333,0.1589769706709995,3,20,0.2565
0.44347924536194605,0.4795973001018125,0.2671672150557483,0.5544159385410685,-0.5434059746123153,0.8161103596226367,0.4908424908424908,0.9719626168224299,-0.40117414541013907,0.8954249343764535,6,1,0.295
0.4945103633999324,0.3736443597764169,0.34213215617446135,0.6659402950064275,-0.44567368164463345,1.1095794608626672,0.5347985347985348,1.0,-0.26009532597811374,0.4935322210312255,6,2,0.34650000000000003
0.4170837499546596,0.30009649312303205,0.3522350892771685,0.6717611340643651,-0.3153261003303941,1.3227060795717362,0.5567765567765568,1.0,-0.19380014353403893,0.36435479276362015,6,3,0.3245
0.4004391194348724,0.2640169878719844,0.37717282939854385,0.7390402958847202,-0.3206623369516041,1.2487875041443006,0.5274725274725275,1.0,-0.1696305348762122,0.267034293483387,6,4,0.3405
0.39235422289618027,0.24734036549145502,0.39100303587320145,0.7729013705591553,-0.30650655991226294,1.2800842598882423,0.5457875457875457,1.0,-0.1612911636382939,0.2654973496869165,6,5,0.358
0.39567080023710877,0.22973749836156343,0.4189592749494905,0.871517649689215,-0.2056357604210151,1.924134204221188,0.5641025641025641,1.0,-0.1267932419018228,0.2818857384034223,6,6,0.419
0.37392422865170394,0.216827301956944,0.41886665725161604,0.8508966694059338,-0.16928810759113214,2.2088038786210125,0.5787545787545788,0.9953271028037384,-0.1138673537044539,0.27666638983414066,6,7,0.4105
0.37284819259044033,0.20983320662478833,0.4297298097694396,0.8830252062644727,-0.14549474612816268,2.5626230672412573,0.5677655677655677,1.0,-0.10594703162824758,0.30213428464200887,6,8,0.45
0.370209482699567,0.20216198535160634,0.44114790336185433,0.9006100131640322,-0.1661596674553033,2.2280345668069708,0.5860805860805861,0.9953271028037384,-0.10339513521715998,0.2774385009698556,6,9,0.48750000000000004
0.3591389166151584,0.19501078721467474,0.4430950137215878,0.9067387410286287,-0.1759011685108093,2.0417085324426876,0.5641025641025641,1.0,-0.12244824598676933,0.2575754752800757,6,10,0.47450000000000003
0.3527504766709779,0.18859486033580214,0.4490665282057316,0.9057571948317877,-0.16869515202562735,2.0910528396061423,0.5787545787545788,1.0,-0.11884755133314297,0.24554023119784024,6,11,0.472
