CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Win Rate,Beat SPY 3Y,Beat SPY 5Y,Best Mo,Worst Mo,Max Return,Universe,Lookback,K,Mode
0.3135449112324691,0.30581993512988925,0.27546892079099344,0.478294206999288,-0.5823428263105352,0.5384198054244953,0.6263736263736264,0.9369747899159664,0.9906542056074766,0.3599642139695525,-0.23201086477657876,0.3599642139695525,S&P 500,6,5,Raw
0.3135449112324691,0.30581993512988925,0.27546892079099344,0.478294206999288,-0.5823428263105352,0.5384198054244953,0.6263736263736264,0.9369747899159664,0.9906542056074766,0.3599642139695525,-0.23201086477657876,0.3599642139695525,S&P 500,6,5,Capped
0.29144525565734436,0.2683566212853848,0.2843076474763613,0.45135619635945945,-0.625663930112476,0.4658175765461676,0.6483516483516484,0.9117647058823529,0.9766355140186916,0.30213428464200887,-0.22304580330336843,0.30213428464200887,S&P 500,6,8,Raw
0.2889435056250029,0.2667288641298861,0.28350496724852614,0.4473518523122208,-0.6256639301124761,0.4618190241094118,0.6483516483516484,0.9117647058823529,0.9766355140186916,0.30213428464200887,-0.22304580330336843,0.30213428464200887,S&P 500,6,8,Capped
0.2828664687898699,0.2492296078473767,0.2927702420187368,0.4566527207772468,-0.6188408189771437,0.4570908384120623,0.6446886446886447,0.8991596638655462,0.9766355140186916,0.2575754752800757,-0.21366032311721012,0.2575754752800757,S&P 500,6,10,Raw
0.280864633291265,0.2478824350467484,0.29217684246031567,0.45326379308119513,-0.6188408189771439,0.4538560235174764,0.6446886446886447,0.8991596638655462,0.9766355140186916,0.2575754752800757,-0.21366032311721012,0.2575754752800757,S&P 500,6,10,Capped
0.48260070449603387,0.3106258835230076,0.3879191508107822,0.6387941193531538,-0.5619314988349262,0.8588247953649655,0.6925925925925925,0.9702127659574468,1.0,0.4113944627928031,-0.24768606304648771,0.4113944627928031,S&P 500,9,5,Raw
0.4800922151509288,0.3079786723988569,0.3890553947340128,0.6352053275776535,-0.5619314988349262,0.8543607470773966,0.6925925925925925,0.9702127659574468,1.0,0.35863026320866,-0.24768606304648771,0.35863026320866,S&P 500,9,5,Capped
0.4115923432558819,0.27552920864437935,0.37421428974663673,0.6112770886884014,-0.4919214170945106,0.8367034427712354,0.6814814814814815,0.9744680851063829,1.0,0.35005590698445516,-0.21797070766632679,0.35005590698445516,S&P 500,9,7,Raw
0.4098171452367292,0.2736983165631366,0.3749508655370481,0.6084103488380205,-0.4919214170945106,0.8330947403292118,0.6814814814814815,0.9744680851063829,1.0,0.3123671929957815,-0.21797070766632679,0.3123671929957815,S&P 500,9,7,Capped
